Name,Rating,Price
إعلانإعلان,1.0 من 5 نجوم,"‏46,888.00 جنيه"
إعلانإعلان,4.8 من 5 نجوم,"‏47,990.00 جنيه"
إعلانإعلان,3.8 من 5 نجوم,"‏53,950.00 جنيه"
إعلانإعلان,4.6 من 5 نجوم,"‏78,750.00 جنيه"
لابتوب من ديل، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,3.6 من 5 نجوم,"‏15,069.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,4.2 من 5 نجوم,"‏23,950.00 جنيه"
لابتوب ألعاب ايديا باد 3 15ARH7 من لينوفو، رايزن 7 7735HS، انفيديا جيفورس 4050 6GB GDDR6، 16GB DDR5-4800 رام، 512GB SSD، 15.6 بوصة FHD (1920x1080) IPS 250nits 120Hz، كيبورد بإضاءة خلفية,4.3 من 5 نجوم,"‏46,600.00 جنيه"
لابتوب من ام اس اي، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,5.0 من 5 نجوم,"‏34,499.00 جنيه"
لابتوب من أسوس، بمعالج AMD، شاشة 14 بوصة، وذاكرة رام 8 جيجابايت,4.1 من 5 نجوم,"‏33,937.10 جنيه"
لابتوب كور G5 i7 الجيل الثامن | 8 جيجا رام | 256 جيجا SSD | شاشة 15.6 بوصة FHD | كارت Intel UHD | مستورد استعمال خارج بحالة ممتازة Grade A | مثالي للشغل والدراسة والاونلاين,1.0 من 5 نجوم,"‏16,000.00 جنيه"
لابتوب من لينوفو، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 12 جيجابايت,4.0 من 5 نجوم,"‏37,750.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 4 جيجابايت,3.2 من 5 نجوم,"‏15,423.73 جنيه"
لابتوب من أسوس، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,5.0 من 5 نجوم,"‏31,133.00 جنيه"
لابتوب من أسوس، بمعالج AMD، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,3.6 من 5 نجوم,"‏22,227.00 جنيه"
لاب توب ماك بوك اير 2025 13 بوصة مع شريحة M4 من آبل شاشة ليكويد ريتينا 13.6 بوصة مصممة لجهاز ابل الذكي، ذاكرة موحدة 16GB، تخزين SSD 256GB، كاميرا مركزية 12MP، خاصية التعرف باللمس، ميدنايت,4.8 من 5 نجوم,"‏52,850.00 جنيه"
لابتوب من ام اس اي، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,N/A,"‏20,925.00 جنيه"
لابتوب من اسس، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 4 جيجابايت,3.6 من 5 نجوم,"‏11,500.00 جنيه"
لابتوب من اتش بي، بمعالج ايه ام دي، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,3.5 من 5 نجوم,"‏12,358.00 جنيه"
لابتوب من MSI، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 16 جيجابايت,5.0 من 5 نجوم,"‏46,999.00 جنيه"
لابتوب من أسوس، بمعالج إنتل، شاشة 16 بوصة، وذاكرة رام 16 جيجابايت,N/A,"‏41,799.00 جنيه"
إعلانإعلان,4.8 من 5 نجوم,"‏54,999.00 جنيه"
إعلانإعلان,4.5 من 5 نجوم,"‏61,950.00 جنيه"
إعلانإعلان,4.9 من 5 نجوم,"‏59,750.00 جنيه"
إعلانإعلان,4.7 من 5 نجوم,"‏50,999.00 جنيه"
لابتوب من اتش بي، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,5.0 من 5 نجوم,"‏32,999.00 جنيه"
لابتوب من لينوفو، بمعالج انتل، شاشة 15.6 إنش، وذاكرة رام 8 جيجابايت,3.2 من 5 نجوم,"‏17,100.00 جنيه"
لاب توب ديل فوسترو3520 -انتل كورi7-1255U جيل 12 بـ10 نواة،رام 16 جيجا،NVMe PCle اس اس دي 512 جيجا،كارت رسومات انتل ايريس اكس اي،فل اتش دي 15.6 انش(1920×1080)WVA مضادة للوهج 250 نيت-أسود كربوني-اوبونتو,3.2 من 5 نجوم,"‏25,999.00 جنيه"
لابتوب اسوس X1504VA-NJ017W فيفو بوك انتل كور i7-1355U 8GB RAM 512GB SSD ويندوز 11 هوم 16:9 60Hz شاشة FHD 15.6 انش، ازرق هادئ,3.2 من 5 نجوم,"‏24,588.00 جنيه"
