iter	Passed	Remaining
0	99	99821
1	183	91772
2	265	88120
3	343	85441
4	426	84846
5	508	84171
6	586	83189
7	668	82833
8	757	83460
9	841	83339
10	918	82590
11	998	82234
12	1074	81611
13	1146	80754
14	1226	80553
15	1306	80350
16	1373	79396
17	1446	78939
18	1522	78602
19	1610	78932
20	1691	78839
21	1769	78676
22	1868	79390
23	1945	79132
24	2012	78502
25	2091	78362
26	2168	78149
27	2240	77784
28	2309	77329
29	2388	77220
30	2466	77103
31	2546	77020
32	2629	77043
33	2713	77088
34	2787	76861
35	2865	76736
36	2971	77327
37	3041	77003
38	3108	76607
39	3190	76577
40	3270	76494
41	3351	76439
42	3434	76430
43	3509	76256
44	3594	76274
45	3679	76300
46	3746	75958
47	3828	75922
48	3904	75773
49	3999	75991
50	4099	76287
51	4174	76112
52	4241	75794
53	4311	75530
54	4389	75425
55	4467	75314
56	4554	75349
57	4626	75143
58	4705	75052
59	4781	74902
60	4855	74746
61	4934	74658
62	5004	74438
63	5090	74443
64	5192	74690
65	5270	74581
66	5347	74462
67	5425	74359
68	5498	74195
69	5569	73989
70	5658	74035
71	5744	74046
72	5824	73956
73	5904	73889
74	5985	73817
75	6056	73639
76	6132	73507
77	6221	73536
78	6305	73507
79	6375	73320
80	6453	73218
81	6533	73147
82	6622	73163
83	6704	73115
84	6781	73003
85	6865	72968
86	6953	72967
87	7018	72738
88	7098	72661
89	7170	72505
90	7252	72442
91	7349	72533
92	7427	72438
93	7509	72381
94	7598	72384
95	7675	72277
96	7756	72209
97	7847	72227
98	7926	72140
99	8002	72022
100	8077	71895
101	8158	71830
102	8235	71717
103	8310	71600
104	8408	71671
105	8501	71700
106	8581	71618
107	8659	71523
108	8740	71450
109	8812	71303
110	8884	71152
111	8963	71068
112	9045	71001
113	9122	70903
114	9196	70772
115	9275	70685
116	9355	70608
117	9438	70546
118	9534	70590
119	9625	70589
120	9704	70496
121	9781	70396
122	9862	70317
123	9940	70227
124	10018	70131
125	10094	70020
126	10174	69941
127	10256	69872
128	10337	69801
129	10417	69716
130	10496	69631
131	10601	69713
132	10694	69713
133	10769	69599
134	10846	69500
135	10923	69393
136	10993	69251
137	11071	69154
138	11155	69098
139	11226	68961
140	11307	68885
141	11385	68795
142	11462	68696
143	11536	68579
144	11616	68498
145	11721	68559
146	11803	68493
147	11874	68356
148	11950	68252
149	12027	68158
150	12100	68033
151	12178	67943
152	12265	67901
153	12335	67766
154	12417	67696
155	12484	67545
156	12570	67497
157	12651	67422
158	12727	67320
159	12826	67340
160	12906	67256
161	12974	67112
162	13056	67046
163	13133	66948
164	13202	66810
165	13281	66726
166	13364	66660
167	13444	66584
168	13526	66511
169	13606	66429
170	13693	66383
171	13771	66295
172	13847	66196
173	13939	66171
174	14015	66072
175	14097	66001
176	14171	65892
177	14250	65808
178	14331	65731
179	14410	65649
180	14491	65572
181	14577	65517
182	14659	65446
183	14739	65364
184	14816	65274
185	14890	65167
186	14973	65096
187	15071	65097
188	15136	64952
189	15208	64835
190	15286	64746
191	15356	64624
192	15431	64526
193	15500	64400
194	15580	64320
195	15660	64239
196	15728	64113
197	15808	64031
198	15889	63958
199	15962	63849
200	16037	63752
201	16139	63759
202	16220	63684
203	16290	63565
204	16369	63480
205	16444	63384
206	16521	63291
207	16600	63208
208	16679	63125
209	16759	63045
210	16826	62918
211	16903	62828
212	16975	62723
213	17047	62612
214	17128	62539
215	17218	62498
216	17303	62435
217	17380	62347
218	17473	62312
219	17565	62277
220	17664	62265
221	17746	62190
222	17825	62110
223	17905	62030
224	17977	61921
225	18056	61838
226	18128	61733
227	18202	61632
228	18310	61648
229	18380	61534
230	18451	61423
231	18536	61361
232	18619	61290
